DUID,dbin,q,ratio,price,n,norm
TORRB4,-6..-3h,0.25,82.7617433574356,15500,15,registered
BARKIPS1,<=-24h,0.3,140.673197518728,15493.8,101,registered
BARKIPS1,-24..-12h,0.3,61.7843855520311,15095.47,33,registered
BARKIPS1,-12..-6h,0.3,99.721312213991,15493.8,17,registered
BARKIPS1,0..+3h (post),0.3,119.636939548583,15493.8,42,registered
DRYCGT1,<=-24h,0.3,39.0828613533718,13114.43,18,registered
DRYCGT2,<=-24h,0.3,39.0828613533718,13114.43,42,registered
DRYCGT2,0..+3h (post),0.3,39.0828613533718,13114.43,16,registered
DRYCGT3,<=-24h,0.3,39.0828613533718,13114.43,56,registered
DRYCGT3,0..+3h (post),0.3,42.0460014692099,13114.43,22,registered
MINTARO,<=-24h,0.3,125.901634241245,16178.36,1171,registered
MINTARO,-6..-3h,0.3,125.901634241245,16178.36,78,registered
MINTARO,0..+3h (post),0.3,125.901634241245,16178.36,244,registered
MINTARO,-12..-6h,0.3,125.901634241245,16178.36,153,registered
MINTARO,-24..-12h,0.3,92.6688034188036,15179.15,46,registered
MINTARO,-1..0h,0.3,130.15575221239,16178.36,26,registered
MINTARO,-3..-1h,0.3,125.901634241245,16178.36,17,registered
OSB-AG,0..+3h (post),0.3,0.1,-999.199999999998,18,registered
PPCCGT,<=-24h,0.3,0.1,-998.399999999997,56,registered
QPS5,<=-24h,0.3,138.765842998824,15300.05,264,registered
QPS5,0..+3h (post),0.3,118.110622201637,15300.05,49,registered
QPS5,-6..-3h,0.3,140.599614041537,15300.05,16,registered
QPS5,-12..-6h,0.3,118.110622201637,15300.05,15,registered
QPS5,-24..-12h,0.3,118.110622201637,15300.05,28,registered
TORRB2,0..+3h (post),0.3,121.43091051247,16595.02,152,registered
TORRB2,<=-24h,0.3,101.050139123224,15098.49,62,registered
TORRB2,-12..-6h,0.3,62.7881420270996,15098.49,18,registered
TORRB2,-1..0h,0.3,121.358051966162,16600,21,registered
TORRB2,-6..-3h,0.3,74.3588797540714,15490.7,20,registered
TORRB2,-3..-1h,0.3,56.6183985686869,15500,16,registered
TORRB3,<=-24h,0.3,82.7120863114209,15490.7,88,registered
TORRB3,0..+3h (post),0.3,121.43091051247,15500,177,registered
TORRB3,-12..-6h,0.3,1.16630850007854,238.85,23,registered
TORRB3,-6..-3h,0.3,1.5415391032033,238.85,15,registered
TORRB4,0..+3h (post),0.3,127.563107291507,15500,165,registered
TORRB4,<=-24h,0.3,56.5844275295457,15490.7,39,registered
TORRB4,-12..-6h,0.3,118.309041808418,15490.7,19,registered
TORRB4,-1..0h,0.3,82.7617433574356,15500,21,registered
TORRB4,-6..-3h,0.3,100.98950903975,15500,15,registered
BARKIPS1,<=-24h,0.35,140.673197518728,15493.8,101,registered
BARKIPS1,-24..-12h,0.35,61.7843855520311,15095.47,33,registered
BARKIPS1,-12..-6h,0.35,99.721312213991,15493.8,17,registered
BARKIPS1,0..+3h (post),0.35,119.636939548583,15493.8,42,registered
DRYCGT1,<=-24h,0.35,39.0828613533718,13114.43,18,registered
DRYCGT2,<=-24h,0.35,39.0828613533718,13114.43,42,registered
DRYCGT2,0..+3h (post),0.35,39.0828613533718,13114.43,16,registered
DRYCGT3,<=-24h,0.35,39.0828613533718,13114.43,56,registered
DRYCGT3,0..+3h (post),0.35,42.0460014692099,13114.43,22,registered
MINTARO,<=-24h,0.35,125.901634241245,16178.36,1171,registered
MINTARO,-6..-3h,0.35,125.901634241245,16178.36,78,registered
MINTARO,0..+3h (post),0.35,125.901634241245,16178.36,244,registered
MINTARO,-12..-6h,0.35,125.901634241245,16178.36,153,registered
MINTARO,-24..-12h,0.35,94.6275946275947,15339.575,46,registered
MINTARO,-1..0h,0.35,130.15575221239,16178.36,26,registered
MINTARO,-3..-1h,0.35,125.901634241245,16178.36,17,registered
OSB-AG,0..+3h (post),0.35,121.123273797988,15500,18,registered
PPCCGT,<=-24h,0.35,0.1,-998.399999999997,56,registered
QPS5,<=-24h,0.35,138.765842998824,15300.05,264,registered
QPS5,0..+3h (post),0.35,118.110622201637,15300.05,49,registered
QPS5,-6..-3h,0.35,140.599614041537,15300.05,16,registered
QPS5,-12..-6h,0.35,118.110622201637,15300.05,15,registered
QPS5,-24..-12h,0.35,118.110622201637,15300.05,28,registered
TORRB2,0..+3h (post),0.35,121.43091051247,16600,152,registered
TORRB2,<=-24h,0.35,101.050139123224,15098.49,62,registered
TORRB2,-12..-6h,0.35,95.1943979989911,15299.245,18,registered
TORRB2,-1..0h,0.35,121.358051966162,16600,21,registered
TORRB2,-6..-3h,0.35,74.3588797540714,15490.7,20,registered
TORRB2,-3..-1h,0.35,56.6183985686869,15500,16,registered
TORRB3,<=-24h,0.35,82.7120863114209,15490.7,88,registered
TORRB3,0..+3h (post),0.35,121.43091051247,15500,177,registered
TORRB3,-12..-6h,0.35,1.27533176780152,238.85,23,registered
TORRB3,-6..-3h,0.35,51.8032545812458,12914.75,15,registered
TORRB4,0..+3h (post),0.35,135.100499331445,15500,165,registered
TORRB4,<=-24h,0.35,56.5844275295457,15490.7,39,registered
TORRB4,-12..-6h,0.35,118.309041808418,15490.7,19,registered
TORRB4,-1..0h,0.35,82.7617433574356,15500,21,registered
TORRB4,-6..-3h,0.35,100.98950903975,15500,15,registered
BARKIPS1,<=-24h,0.4,140.673197518728,15493.8,101,registered
BARKIPS1,-24..-12h,0.4,99.721312213991,15493.8,33,registered
BARKIPS1,-12..-6h,0.4,99.721312213991,15493.8,17,registered
BARKIPS1,0..+3h (post),0.4,120.638158714339,15493.8,42,registered
DRYCGT1,<=-24h,0.4,39.0828613533718,13114.43,18,registered
DRYCGT2,<=-24h,0.4,39.0828613533718,13114.43,42,registered
DRYCGT2,0..+3h (post),0.4,39.0828613533718,13114.43,16,registered
DRYCGT3,<=-24h,0.4,39.0828613533718,13114.43,56,registered
DRYCGT3,0..+3h (post),0.4,42.0460014692099,13114.43,22,registered
MINTARO,<=-24h,0.4,125.901634241245,16178.36,1171,registered
MINTARO,-6..-3h,0.4,125.901634241245,16178.36,78,registered
MINTARO,0..+3h (post),0.4,125.901634241245,16178.36,244,registered
MINTARO,-12..-6h,0.4,125.901634241245,16178.36,153,registered
MINTARO,-24..-12h,0.4,94.6275946275947,15339.575,46,registered
MINTARO,-1..0h,0.4,130.15575221239,16178.36,26,registered
MINTARO,-3..-1h,0.4,125.901634241245,16178.36,17,registered
OSB-AG,0..+3h (post),0.4,121.123273797988,15500,18,registered
PPCCGT,<=-24h,0.4,0.1,-998.399999999997,56,registered
QPS5,<=-24h,0.4,138.765842998824,15300.05,264,registered
QPS5,0..+3h (post),0.4,118.110622201637,15300.05,49,registered
QPS5,-6..-3h,0.4,140.599614041537,15300.05,16,registered
QPS5,-12..-6h,0.4,138.765842998824,15300.05,15,registered
QPS5,-24..-12h,0.4,118.110622201637,15300.05,28,registered
TORRB2,0..+3h (post),0.4,121.43091051247,16600,152,registered
TORRB2,<=-24h,0.4,101.050139123224,15098.49,62,registered
