DUID,delta_star,cheap_m,cheap_se,avail_m,avail_se,above_m,above_se,dcheap_m,dcheap_se,davail_m,davail_se,dabove_m,dabove_se,n_ep,fixed_set
OSB-AG,0,0.0620311075575748,0.0416793129574555,0.0699844543163013,0.0470792121561473,0.106415396952686,0.106415396952686,0.0620311075575748,0.0416793129574555,0.0699844543163013,0.0470792121561473,,,11,11
QPS5,-24,0,0,0.940797390453954,0.00779798718860797,1,0,0,0,0,0,0,0,42,42
QPS5,-18,0,0,0.940653688555444,0.00777245864573533,1,0,0,0,-0.000143701898509615,0.000297711933505835,0,0,42,42
QPS5,-12,0,0,0.940677894122704,0.00778899279377823,1,0,0,0,-0.000119496331249982,0.000250539992097766,0,0,42,42
QPS5,-9,0,0,0.940442061485555,0.00778074334076937,1,0,0,0,-0.00035532896839841,0.000305179189300031,0,0,42,42
QPS5,-6,0.00334563078703704,0.00334563078703704,0.940487665507356,0.00781097350092951,0.996606874289278,0.00339312571072227,0.00334563078703704,0.00334563078703704,-0.000309724946597819,0.00048076465574648,-0.00339312571072227,0.00339312571072227,42,42
QPS5,-4,0.00677910052910053,0.00677910052910053,0.940429767484517,0.00777212862650059,0.99312466265256,0.00687533734744035,0.00677910052910053,0.00677910052910053,-0.000367622969437201,0.000413347448950873,-0.00687533734744035,0.00687533734744035,42,42
QPS5,-3,0.00677910052910053,0.00677910052910053,0.935432900316597,0.00926110530143247,0.99312466265256,0.00687533734744035,0.00677910052910053,0.00677910052910053,-0.005364490137357,0.00507656939354095,-0.00687533734744035,0.00687533734744035,42,42
QPS5,-2,0.0124299463937622,0.00871892178020187,0.912795122927415,0.0241179114973565,0.985015833873371,0.0104818621590525,0.0124299463937622,0.00871892178020187,-0.0280022675265385,0.0233528108980728,-0.0149841661266286,0.0104818621590525,42,42
QPS5,-1,0.0124299463937622,0.00871892178020187,0.912795122927415,0.0241179114973565,0.985015833873371,0.0104818621590525,0.0124299463937622,0.00871892178020187,-0.0280022675265385,0.0233528108980728,-0.0149841661266286,0.0104818621590525,42,42
QPS5,0,0.0694358134535837,0.0217185027793434,0.905738783218231,0.0150124819109459,0.904787205776165,0.0311895338400167,0.0694358134535837,0.0217185027793434,-0.0350586072357228,0.0128523311666549,-0.0952127942238348,0.0311895338400167,42,42
TORRB2,-24,0.0357783478960816,0.0078467249360312,0.10640931556011,0.0260844495875236,0.508606737460654,0.0693020724248483,0,0,0,0,0,0,112,112
TORRB2,-18,0.0368028854089285,0.00814267009268374,0.109333841431065,0.0267368519199425,0.51003489074584,0.0692786857472982,0.00102453751284687,0.003780983594797,0.00292452587095444,0.0120910046224808,0.0103016264055802,0.0103016264055802,112,112
TORRB2,-12,0.0345364018924449,0.00791053161490801,0.101635428732652,0.0258783994275385,0.500024272948259,0.0722290609463425,-0.00124194600363665,0.0044130062391907,-0.00477388682745826,0.0157206809355354,0.0109076044294379,0.0109076044294379,112,112
TORRB2,-9,0.0376134274787989,0.00817852790109938,0.108257097176149,0.0263325701866116,0.479781965593463,0.0697231654863409,0.00183507958271729,0.00507642117439628,0.00184778161603855,0.01683888743738,0.0109076044294379,0.0109076044294379,112,112
TORRB2,-6,0.0364648438325649,0.00872912625117935,0.0922831021687892,0.0238674289246632,0.46860760967861,0.0702925554693946,0.000686495936483271,0.0065518492196863,-0.0141262133913211,0.0202371103442416,-0.0475213411660132,0.0483401304951819,112,112
TORRB2,-4,0.0377335955529062,0.00908317444451546,0.090278044365321,0.0236851838882924,0.429480308649413,0.0738726385449463,0.00195524765682459,0.00762387081379018,-0.0161312711947893,0.0207084459958331,-0.0559258973742921,0.0521656326609635,112,112
TORRB2,-3,0.0401570649406613,0.00930295137137585,0.0908311055898108,0.0227993261574403,0.433095390545323,0.0722048059133273,0.00437871704457969,0.00790929363396513,-0.0155782099702995,0.0219970608327427,-0.0619552995975319,0.081848847966997,112,112
