instruction,e,mean_depth,sd,n,se,lo,hi
Synchronise,-7,3.02529761904762,1.37822643568182,672,0.0531662390080045,2.92109179059193,3.12950344750331
Synchronise,-6,3.08184523809524,1.38034883596465,672,0.053248112376405,2.97747893783748,3.18621153835299
Synchronise,-5,3.0952380952381,1.37786675109122,672,0.0531523638736899,2.99105946204566,3.19941672843053
Synchronise,-4,3.09077380952381,1.37870908627917,672,0.0531848576590127,2.98653148851214,3.19501613053547
Synchronise,-3,3.09077380952381,1.37546241925921,672,0.053059614759665,2.98677696459487,3.19477065445275
Synchronise,-2,3.0952380952381,1.37136174227445,672,0.0529014277106996,2.99155129692512,3.19892489355107
Synchronise,-1,3.09672619047619,1.37288669605588,672,0.0529602540799526,2.99292409247948,3.2005282884729
Synchronise,0,3.11755952380952,1.37884419817113,672,0.0531900697133998,3.01330698717126,3.22181206044779
Synchronise,1,3.12797619047619,1.39350957062602,672,0.0537557987379576,3.02261482494979,3.23333755600259
Synchronise,2,3.12946428571429,1.3928370125686,672,0.0537298542476316,3.02415377138893,3.23477480003964
Synchronise,3,3.13095238095238,1.39857080044921,672,0.0539510399171193,3.02520834271483,3.23669641918993
Synchronise,4,3.13244047619048,1.3893424436264,672,0.053595048324018,3.0273941814754,3.23748677090555
Synchronise,5,3.13095238095238,1.38894731739045,672,0.0535798059985518,3.02593596119522,3.23596880070954
Synchronise,6,3.14434523809524,1.37737655985482,672,0.0531334543362151,3.04020366759626,3.24848680859422
Synchronise,7,3.15327380952381,1.3753269751419,672,0.0530543898894066,3.04928720534057,3.25726041370705
Synchronise,8,3.14880952380952,1.37960395600992,672,0.0532193780083213,3.04449954291321,3.25311950470583
Synchronise,9,3.1547619047619,1.38756708563791,672,0.0535265624027668,3.04984984245248,3.25967396707133
Synchronise,10,3.15625,1.38901038547907,672,0.0535822389028891,3.05122881175034,3.26127118824966
Synchronise,11,3.15625,1.38901038547907,672,0.0535822389028891,3.05122881175034,3.26127118824966
Synchronise,12,3.16815476190476,1.38546774849628,672,0.0534455787143531,3.06340142762463,3.27290809618489
Synchronise,13,3.17559523809524,1.37752870683667,672,0.0531393235334617,3.07144216396965,3.27974831222082
Synchronise,14,3.17857142857143,1.38362330690006,672,0.0533744278350768,3.07395755001468,3.28318530712818
Synchronise,15,3.17857142857143,1.38254577843398,672,0.0533328612720778,3.07403902047816,3.2831038366647
Synchronise,16,3.17857142857143,1.37930814239287,672,0.0532079667503026,3.07428381374084,3.28285904340202
Synchronise,17,3.17261904761905,1.37682337602082,672,0.0531121148065323,3.06851930259824,3.27671879263985
Synchronise,18,3.14285714285714,1.35517208408194,672,0.0522768980872382,3.04039442260616,3.24531986310813
Synchronise,19,3.15178571428571,1.35419965922808,672,0.0522393859841039,3.04939651775687,3.25417491081456
Synchronise,20,3.15178571428571,1.35419965922808,672,0.0522393859841039,3.04939651775687,3.25417491081456
Synchronise,21,3.14434523809524,1.35556396714009,672,0.0522920153044049,3.0418528880986,3.24683758809187
Synchronise,22,3.14732142857143,1.35524326959354,672,0.0522796441279653,3.04485332608062,3.24978953106224
Synchronise,23,3.14434523809524,1.35666292605792,672,0.0523344085650277,3.04176979730778,3.24692067888269
Synchronise,24,3.10565476190476,1.33479096970049,672,0.0514906795309838,3.00473303002403,3.20657649378549
