episode_id,duid,instruction,yyyymm,comp,pred_gross,pred_wedge,pred_rta,rta,addl,gas_gj
819,TORRB2,Remain,202312,111695.4197632,214785.766039917,214785.766039917,212608.859345217,2176.90669470001,56595.1083661403,11.23
822,TORRB2,Remain,202312,65028.90147076,0,0,17547.14169656,-17547.14169656,29902.7370105265,11.23
825,TORRB2,Synchronise,202402,34706.060280654,61969.5236919212,2860.02731192123,65073.7525361412,-3104.22884422,38845.0061244185,11.65
829,TORRB2,Remain,202402,89750.6936798001,26270.88728,0,10578.9521606,15691.9351194,34117.0615290506,11.65
833,TORRB2,Synchronise,202403,47674.961591978,162664.580470675,81191.2089456753,157011.003694235,5653.57677644,43852.49,11.65
834,TORRB2,Remain,202403,54080.645271,145438.99903278,58593.7568577804,140705.560486801,4733.43854598,20889.69,11.65
835,TORRB2,Synchronise,202403,50959.588042325,0,0,11203.89826517,-11203.89826517,45513.99,11.65
840,TORRB2,Remain,202404,60640.924532365,0,0,-4053.12596184,4053.12596184,26134.9051522312,13.86
841,TORRB2,Synchronise,202404,42995.298322288,0,0,-1109.4688708,1109.4688708,33241.045876212,13.86
842,TORRB2,Synchronise,202404,49611.359416951,0,0,2685.97037907,-2685.97037907,36530.2488293809,13.86
843,TORRB2,Synchronise,202404,6746.836514445,0,0,-9748.94234196,9748.94234196,0,13.86
844,TORRB2,Synchronise,202404,46496.7170728,0,0,894.119551170001,-894.119551170001,41241.942451675,13.86
845,TORRB2,Synchronise,202404,46296.570807195,0,0,9884.59307888,-9884.59307888,35285.6410883819,13.86
846,TORRB2,Synchronise,202404,36058.984217085,0,0,-1113.33945904,1113.33945904,30762.0036440494,13.86
847,TORRB2,Synchronise,202404,28873.485600848,74470.40035385,25369.62610385,76177.54474601,-1707.14439216,36362.852674542,13.86
849,TORRB2,Synchronise,202404,36058.303571309,0,0,2935.84372069,-2935.84372069,35592.7283106472,13.86
850,TORRB2,Synchronise,202404,37176.892408684,77848.021783876,12677.903233876,78881.078119256,-1033.05633538,43866.6393614705,13.86
852,TORRB2,Synchronise,202405,20714.687317926,90981.4544069832,54027.7544069832,90386.6597315132,594.79467547,31030.14,13.86
853,TORRB2,Synchronise,202405,35162.186035,61917.6434302584,3847.54343025836,48758.2052312284,13159.43819903,38102.31,13.86
854,TORRB2,Synchronise,202405,47195.67003816,0,0,2281.0736824,-2281.0736824,21879.66,13.86
856,TORRB2,Synchronise,202405,40519.007810271,93010.4430576833,23502.2930576833,77798.2389081833,15212.2041495,48703.12,13.86
859,TORRB2,Synchronise,202405,96425.465894945,213659.451979683,213659.451979683,197388.809208083,16270.6427716,0,13.86
860,TORRB2,Remain,202405,32969.13544693,0,0,-3788.17063317,3788.17063317,15506.2074396061,13.86
861,TORRB2,Synchronise,202407,137241.14197892,247383.640298866,247383.640298866,211240.302592856,36143.33770601,24823.33,12.78
864,TORRB2,Remain,202407,137185.91622952,57158.7435480001,57158.7435480001,43758.7561892301,13399.98735877,22148.12,12.78
865,TORRB2,Synchronise,202408,34604.94155886,63665.4684910435,10410.2019310435,69330.1942117335,-5664.72572069,5171.24473891161,12.78
866,TORRB2,Remain,202408,128967.9656706,308557.114240021,308557.114240021,305124.266410711,3432.84782931,16696.8614019933,12.78
869,TORRB2,Remain,202408,121157.64675985,361676.0469478,361676.0469478,336963.84579933,24712.20114847,18739.1708182625,12.78
874,TORRB2,Remain,202409,61704.09903575,200026.97702057,101010.35177057,205714.61135082,-5687.63433025,0,12.78
876,TORRB2,Synchronise,202409,52166.536200153,0,0,3354.67490273,-3354.67490273,9682.64752234357,12.78
878,TORRB2,Remain,202409,129292.908043,49416.6305645835,49416.6305645835,47855.0468639135,1561.58370067,0,12.78
885,TORRB2,Synchronise,202411,58409.337428736,221698.364335,121150.364335,232023.71029712,-10325.34596212,40074.55,13.55
886,TORRB2,Remain,202411,148681.65974928,68167.8199999999,68167.8199999999,88137.8303155699,-19970.01031557,6878.70927072744,13.55
889,TORRB2,Remain,202411,51197.05678248,96072.2013006,15633.8013006,91038.58352516,5033.61777544,0,13.55
1132,TORRB3,Synchronise,202311,40698.639567432,138171.525406663,64369.7084216624,145175.968290983,-7004.44288432,47220.2548163667,11.23
1134,TORRB3,Remain,202311,78839.54962325,8329.95191708334,0,31633.2599425633,-23303.30802548,23498.0824492742,11.23
