duid,tech_label,yyyymm,gas_gj,diesel_gj,fuel_type,incr_hr,static_hr,vom_mwh,srmc_marginal,srmc_allin
OSB-AG,Cogen (Osborne),202206,29.85,51.3157894736842,gas,8.16,8.16,4.1,247.676,247.676
MINTARO,OCGT (Mintaro),202206,29.85,51.3157894736842,gas,10,12.72,12,310.5,391.692
BARKIPS1,Recip. (Barker Inlet),202206,29.85,51.3157894736842,gas,7.9,7.9,8.51,244.325,244.325
DRYCGT1,OCGT (Dry Creek),202206,29.85,51.3157894736842,gas,10.97,13.69,8.1,335.5545,416.7465
DRYCGT2,OCGT (Dry Creek),202206,29.85,51.3157894736842,gas,10.97,13.69,8.1,335.5545,416.7465
DRYCGT3,OCGT (Dry Creek),202206,29.85,51.3157894736842,gas,10.97,13.69,8.1,335.5545,416.7465
QPS5,OCGT (Quarantine),202206,29.85,51.3157894736842,gas,8,10.71,8.1,246.9,327.7935
TORRB1,Gas-steam (Torrens B),202207,27.29,51.3157894736842,gas,9.94,10.71,2.5,273.7626,294.7759
TORRB2,Gas-steam (Torrens B),202207,27.29,51.3157894736842,gas,9.94,10.71,2.5,273.7626,294.7759
TORRB3,Gas-steam (Torrens B),202207,27.29,51.3157894736842,gas,9.94,10.71,2.5,273.7626,294.7759
TORRB4,Gas-steam (Torrens B),202207,27.29,51.3157894736842,gas,9.94,10.71,2.5,273.7626,294.7759
PPCCGT,CCGT (Pelican Pt),202207,27.29,51.3157894736842,gas,7.35,7.35,4.1,204.6815,204.6815
OSB-AG,Cogen (Osborne),202207,27.29,51.3157894736842,gas,8.16,8.16,4.1,226.7864,226.7864
MINTARO,OCGT (Mintaro),202207,27.29,51.3157894736842,gas,10,12.72,12,284.9,359.1288
BARKIPS1,Recip. (Barker Inlet),202207,27.29,51.3157894736842,gas,7.9,7.9,8.51,224.101,224.101
DRYCGT1,OCGT (Dry Creek),202207,27.29,51.3157894736842,gas,10.97,13.69,8.1,307.4713,381.7001
DRYCGT2,OCGT (Dry Creek),202207,27.29,51.3157894736842,gas,10.97,13.69,8.1,307.4713,381.7001
DRYCGT3,OCGT (Dry Creek),202207,27.29,51.3157894736842,gas,10.97,13.69,8.1,307.4713,381.7001
QPS5,OCGT (Quarantine),202207,27.29,51.3157894736842,gas,8,10.71,8.1,226.42,300.3759
TORRB1,Gas-steam (Torrens B),202208,27.29,50,gas,9.94,10.71,2.5,273.7626,294.7759
TORRB2,Gas-steam (Torrens B),202208,27.29,50,gas,9.94,10.71,2.5,273.7626,294.7759
TORRB3,Gas-steam (Torrens B),202208,27.29,50,gas,9.94,10.71,2.5,273.7626,294.7759
TORRB4,Gas-steam (Torrens B),202208,27.29,50,gas,9.94,10.71,2.5,273.7626,294.7759
PPCCGT,CCGT (Pelican Pt),202208,27.29,50,gas,7.35,7.35,4.1,204.6815,204.6815
OSB-AG,Cogen (Osborne),202208,27.29,50,gas,8.16,8.16,4.1,226.7864,226.7864
MINTARO,OCGT (Mintaro),202208,27.29,50,gas,10,12.72,12,284.9,359.1288
BARKIPS1,Recip. (Barker Inlet),202208,27.29,50,gas,7.9,7.9,8.51,224.101,224.101
DRYCGT1,OCGT (Dry Creek),202208,27.29,50,gas,10.97,13.69,8.1,307.4713,381.7001
DRYCGT2,OCGT (Dry Creek),202208,27.29,50,gas,10.97,13.69,8.1,307.4713,381.7001
DRYCGT3,OCGT (Dry Creek),202208,27.29,50,gas,10.97,13.69,8.1,307.4713,381.7001
QPS5,OCGT (Quarantine),202208,27.29,50,gas,8,10.71,8.1,226.42,300.3759
TORRB1,Gas-steam (Torrens B),202209,27.29,48.6842105263158,gas,9.94,10.71,2.5,273.7626,294.7759
TORRB2,Gas-steam (Torrens B),202209,27.29,48.6842105263158,gas,9.94,10.71,2.5,273.7626,294.7759
TORRB3,Gas-steam (Torrens B),202209,27.29,48.6842105263158,gas,9.94,10.71,2.5,273.7626,294.7759
TORRB4,Gas-steam (Torrens B),202209,27.29,48.6842105263158,gas,9.94,10.71,2.5,273.7626,294.7759
PPCCGT,CCGT (Pelican Pt),202209,27.29,48.6842105263158,gas,7.35,7.35,4.1,204.6815,204.6815
OSB-AG,Cogen (Osborne),202209,27.29,48.6842105263158,gas,8.16,8.16,4.1,226.7864,226.7864
