term,estimate,std.error,statistic,p.value,scope,dt_variant,outcome,nobs
oppTRUE,25.945560422009,28.1772000907874,0.92079980758954,0.369331904618392,TORRB2,dt,cheap300_continuous,57677
srmc,0.0473771122260073,0.0526682988251726,0.899537545028198,0.380243291166388,TORRB2,dt,cheap300_continuous,57677
dt:oppTRUE,-0.117493434744005,0.0935117884721576,-1.25645586148732,0.225013057117868,TORRB2,dt,cheap300_continuous,57677
dt_robust,-9.54982165020163e-05,0.000173318266109137,-0.550999145363489,0.588055605895506,TORRB2,dt_robust,withheld_LPM,61253
oppTRUE,-0.0649337611165046,0.0598875058725854,-1.08426223751337,0.291815918455471,TORRB2,dt_robust,withheld_LPM,61253
srmc,8.52339520110112e-05,0.000124691702314142,0.683557529724607,0.502506360625744,TORRB2,dt_robust,withheld_LPM,61253
dt_robust:oppTRUE,0.000297533430590665,0.000206726163872152,1.43926354080015,0.166347988261527,TORRB2,dt_robust,withheld_LPM,61253
dt_robust,-0.0122767112572299,0.0474703375969226,-0.258618579068749,0.798710471239804,TORRB2,dt_robust,cheap300_continuous,61253
oppTRUE,17.1289992140479,22.2434002589356,0.77007107792195,0.450726964449875,TORRB2,dt_robust,cheap300_continuous,61253
srmc,0.0736615253272193,0.0313038688932058,2.35311250435268,0.0295411568543949,TORRB2,dt_robust,cheap300_continuous,61253
dt_robust:oppTRUE,-0.0915426446638026,0.0762954790211607,-1.19984363212941,0.244948237348931,TORRB2,dt_robust,cheap300_continuous,61253
dt,0.000534618905100113,0.000231290822131399,2.31145749828495,0.0328566814843922,TORRB3,dt,withheld_LPM,57677
oppTRUE,0.128816489960818,0.0865814371385441,1.48780725081625,0.154111184196505,TORRB3,dt,withheld_LPM,57677
srmc,-0.00079424086537868,0.000306564866295339,-2.5907758934565,0.0184536088506239,TORRB3,dt,withheld_LPM,57677
dt:oppTRUE,-0.000183988304345688,0.000271346106849508,-0.678057652943332,0.506358875027938,TORRB3,dt,withheld_LPM,57677
dt,-0.14673719267112,0.0595879523479848,-2.46253121460184,0.024110635240618,TORRB3,dt,cheap300_continuous,57677
oppTRUE,-25.6192190350331,19.2446680311382,-1.33123725457778,0.199726948709297,TORRB3,dt,cheap300_continuous,57677
srmc,0.250051308307651,0.0719258313640748,3.47651606613957,0.00269354232825543,TORRB3,dt,cheap300_continuous,57677
dt:oppTRUE,0.0233177600483953,0.0615103538023368,0.379086748928916,0.70905820557055,TORRB3,dt,cheap300_continuous,57677
dt_robust,0.000185446165630062,0.000290431836842351,0.638518723175394,0.530758160836731,TORRB3,dt_robust,withheld_LPM,61253
oppTRUE,0.106403127908097,0.076979214908845,1.38223191850027,0.182935194672918,TORRB3,dt_robust,withheld_LPM,61253
srmc,-0.000309811805829519,0.00031762011460131,-0.975416201893914,0.341610173911104,TORRB3,dt_robust,withheld_LPM,61253
dt_robust:oppTRUE,-0.000134297959047214,0.000242356728729151,-0.554133403893648,0.585951213063825,TORRB3,dt_robust,withheld_LPM,61253
dt_robust,-0.0684775460828344,0.0643267158883079,-1.06452731399709,0.300432186020095,TORRB3,dt_robust,cheap300_continuous,61253
oppTRUE,-29.2817051320373,14.6686644411005,-1.99620798809686,0.0604454284034479,TORRB3,dt_robust,cheap300_continuous,61253
srmc,0.142538035115595,0.0658278668203807,2.16531450889222,0.0432970546968225,TORRB3,dt_robust,cheap300_continuous,61253
dt_robust:oppTRUE,0.0388967869870264,0.0493437177942449,0.788282454703139,0.440256454124646,TORRB3,dt_robust,cheap300_continuous,61253
dt,4.91372142304427e-05,0.000197223781389398,0.249144468705964,0.806069800745968,TORRB4,dt,withheld_LPM,57677
oppTRUE,-0.115901924522845,0.065761492688542,-1.76245884611799,0.0949636021387658,TORRB4,dt,withheld_LPM,57677
srmc,-0.00074600832268938,0.000319743476708523,-2.33314634083822,0.0314411107827323,TORRB4,dt,withheld_LPM,57677
dt:oppTRUE,0.000554276847019745,0.000290668066309948,1.90690657579393,0.072622610571357,TORRB4,dt,withheld_LPM,57677
dt,-0.00169344123447859,0.0487700649891615,-0.03472296448354,0.972682813216542,TORRB4,dt,cheap300_continuous,57677
oppTRUE,49.0239818077709,17.5291292427474,2.79671517785485,0.0119203230183249,TORRB4,dt,cheap300_continuous,57677
srmc,0.238990088790197,0.0693786530898894,3.4447207915748,0.00289038303427846,TORRB4,dt,cheap300_continuous,57677
dt:oppTRUE,-0.228772378151648,0.0728321576666201,-3.14109022004847,0.00564759349222774,TORRB4,dt,cheap300_continuous,57677
dt_robust,-0.000236632851443838,0.000215945878997946,-1.09579702350369,0.286863627243082,TORRB4,dt_robust,withheld_LPM,61253
oppTRUE,-0.04864226228166,0.0606426402582583,-0.80211320078591,0.432406117050463,TORRB4,dt_robust,withheld_LPM,61253
srmc,-0.000330705414571127,0.000297658937544835,-1.11102128260911,0.280421567172941,TORRB4,dt_robust,withheld_LPM,61253
dt_robust:oppTRUE,0.00033810930886163,0.00026434976570673,1.27902254029886,0.216290266332816,TORRB4,dt_robust,withheld_LPM,61253
dt_robust,0.082368097940448,0.0598334265717078,1.37662344712505,0.184635631075359,TORRB4,dt_robust,cheap300_continuous,61253
oppTRUE,24.5090912775207,19.0598541584618,1.28590130195931,0.213928768135873,TORRB4,dt_robust,cheap300_continuous,61253
srmc,0.116834885177502,0.0754928321986781,1.54762885130633,0.138207033035457,TORRB4,dt_robust,cheap300_continuous,61253
dt_robust:oppTRUE,-0.150672582905567,0.0748456212623886,-2.01311152695692,0.0584912951474139,TORRB4,dt_robust,cheap300_continuous,61253
dt,0.00615833226521547,0.000289449560361635,21.2760118119417,0.0022018277798935,PPCCGT,dt,withheld_LPM,4823
oppTRUE,-0.281301500509867,0.238661113121454,-1.17866499837665,0.359766331434554,PPCCGT,dt,withheld_LPM,4823
srmc,0.0244214469465628,0.00130688208780951,18.6868021027789,0.00285147364732593,PPCCGT,dt,withheld_LPM,4823
