SETTLEMENTDATE,d_t,n_obs
2023-03-19T14:05:00Z,348.45789,108541
2023-03-20T14:05:00Z,348.45789,108541
2023-03-21T14:05:00Z,348.52269,108541
2023-03-22T14:05:00Z,348.52378,108541
2023-03-23T14:05:00Z,348.52378,108541
2023-03-24T14:05:00Z,348.52378,108541
2023-03-25T14:05:00Z,348.52378,108541
2023-03-26T14:05:00Z,348.52378,108541
2023-03-27T14:05:00Z,348.52378,108541
2023-03-28T14:05:00Z,348.54369,108541
2023-03-29T14:05:00Z,348.52686,108541
2023-03-30T14:05:00Z,348.54369,108541
2023-03-31T14:05:00Z,348.54369,108541
2023-04-01T14:05:00Z,348.54369,108541
2023-04-02T14:05:00Z,348.54369,108541
2023-04-03T14:05:00Z,348.54369,108541
2023-04-04T14:05:00Z,348.09042,108541
2023-04-05T14:05:00Z,348.0932,108541
2023-04-06T14:05:00Z,348.0932,108541
2023-04-07T14:05:00Z,348.0932,108541
2023-04-08T14:05:00Z,348.0932,108541
2023-04-09T14:05:00Z,348.0932,108541
2023-04-10T14:05:00Z,348.09042,108541
2023-04-11T14:05:00Z,348.08947,108541
2023-04-12T14:05:00Z,348.08947,108541
2023-04-13T14:05:00Z,348.07819,108541
2023-04-14T14:05:00Z,348.01,108541
2023-04-15T14:05:00Z,348.01,108541
2023-04-16T14:05:00Z,348.01,108541
2023-04-17T14:05:00Z,348.01,108541
2023-04-18T14:05:00Z,348.01,108541
2023-04-19T14:05:00Z,348.01,108541
2023-04-20T14:05:00Z,348.01,108541
2023-04-21T14:05:00Z,348.01,108541
2023-04-22T14:05:00Z,348.01,108541
2023-04-23T14:05:00Z,348.01,108541
2023-04-24T14:05:00Z,348.01,108541
2023-04-25T14:05:00Z,348.01,108541
2023-04-26T14:05:00Z,348.01,108541
2023-04-27T14:05:00Z,348.01,108541
2023-04-28T14:05:00Z,348.01,108541
2023-04-29T14:05:00Z,348.01,108541
2023-04-30T14:05:00Z,348.19994,108541
2023-05-01T14:05:00Z,348.94521,108541
2023-05-02T14:05:00Z,348.99,108541
2023-05-03T14:05:00Z,349,108541
2023-05-04T14:05:00Z,349,108541
2023-05-05T14:05:00Z,349,108541
2023-05-06T14:05:00Z,349,108541
2023-05-07T14:05:00Z,349,108541
2023-05-08T14:05:00Z,349,108541
2023-05-09T14:05:00Z,349,108541
2023-05-10T14:05:00Z,349,108541
2023-05-11T14:05:00Z,349,108541
2023-05-12T14:05:00Z,348,108541
2023-05-13T14:05:00Z,348,108541
2023-05-14T14:05:00Z,348,108541
2023-05-15T14:05:00Z,348,108541
2023-05-16T14:05:00Z,348,108541
2023-05-17T14:05:00Z,347.44,108541
2023-05-18T14:05:00Z,347.04614,108541
2023-05-19T14:05:00Z,346.62141,108541
2023-05-20T14:05:00Z,346.45047,108541
2023-05-21T14:05:00Z,346.27008,108541
2023-05-22T14:05:00Z,346.47622,108541
2023-05-23T14:05:00Z,346.62818,108541
2023-05-24T14:05:00Z,346.26362,108541
2023-05-25T14:05:00Z,345.66587,108541
2023-05-26T14:05:00Z,344.44,108541
2023-05-27T14:05:00Z,340.04986,108541
2023-05-28T14:05:00Z,337.26288,108541
2023-05-29T14:05:00Z,336.28,108541
2023-05-30T14:05:00Z,335.45845,108541
2023-05-31T14:05:00Z,334.9085,108541
2023-06-01T14:05:00Z,331.83649,108541
2023-06-02T14:05:00Z,327.94724,108541
2023-06-03T14:05:00Z,325.46901,108541
2023-06-04T14:05:00Z,324.72846,108541
2023-06-05T14:05:00Z,323.69549,108541
2023-06-06T14:05:00Z,322.44,108541
2023-06-07T14:05:00Z,320.55484,108541
2023-06-08T14:05:00Z,316.95244,108541
2023-06-09T14:05:00Z,313.94007,108541
2023-06-10T14:05:00Z,310.8565,108541
