report_year,report_month,report_event,direction_start,direction_end,directed_mwh,compensation_payment,retained_trading_amount,additional_compensation,ie_fee,cra,source_file
2022,1,2022-01-01T05:30:00Z,2022-01-01T05:30:00Z,2022-01-03T13:00:00Z,1723.838774,181217.85774186,23908.39305017,130345,3000,290654.46469169,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2022,1,2022-01-02T08:59:59Z,2022-01-02T08:59:59Z,2022-01-15T07:19:59Z,11750.8709515,1251791.10977279,310183.59830117,8986,0,950593.511471621,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2022,1,2022-01-15T05:49:59Z,2022-01-15T05:49:59Z,2022-01-21T04:45:00Z,6304.3138785,689385.654076429,-46931.32249864,0,0,736316.976575069,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2022,1,2022-01-21T02:59:59Z,2022-01-21T02:59:59Z,2022-01-29T07:45:00Z,3315.6638331,362187.256740778,88922.00439037,286676,5000,564941.252350408,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2022,1,2022-01-28T05:59:59Z,2022-01-28T05:59:59Z,2022-02-03T07:29:59Z,4430.9197288,507240.390104465,98468.03536273,349155,1800,759727.354741735,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2022,2,2022-02-03T07:00:00Z,2022-02-03T07:00:00Z,2022-02-12T05:30:00Z,6560.0616357,741317.28484773,44636.1511588,503668,3300,1203649.13368893,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2022,2,2022-02-12T06:30:00Z,2022-02-12T06:30:00Z,2022-02-19T07:00:00Z,1455.4605787,165700.291318816,9801.052099,157985,1200,315084.239219816,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2022,2,2022-02-19T07:00:00Z,2022-02-19T07:00:00Z,2022-02-26T06:15:00Z,5286.7296945,604922.408017942,91970.18448103,417350.4,2700,933002.623536912,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2022,2,2022-02-26T05:14:59Z,2022-02-26T05:14:59Z,2022-02-27T05:30:00Z,553.25,57198.93824715,37423.31848746,27464.41,428.571428571429,47668.6011882614,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2022,3,2022-03-04T05:59:59Z,2022-03-04T05:59:59Z,2022-03-12T10:29:59Z,10246.2049686,1188131.00229166,-45678.95216068,873767.91,3428.57142857143,2111006.43588091,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2022,3,2022-03-12T07:00:00Z,2022-03-12T07:00:00Z,2022-03-19T04:29:59Z,810.5764898,93852.32699992,973.26303027,150670.13,1714.28571428571,245263.479683936,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2022,3,2022-03-19T07:00:00Z,2022-03-19T07:00:00Z,2022-03-26T06:44:59Z,3285.1607275,384176.974522,35120.94738727,363610.33,3428.57142857143,716094.928563302,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
