episode_id,duid,survivor,window_excess_mwh,seq_class,needed_to_complete,short_at_tau,short_n1_at_tau,piv_n1_at_tau,dir_unit_prior_7d,pre24_shortn1_share
1165,TORRB3,FALSE,70,signal then direction,FALSE,FALSE,FALSE,FALSE,0,0
1166,TORRB3,FALSE,8.16818416666667,signal then direction,FALSE,FALSE,FALSE,TRUE,1,0.256944444444444
1175,TORRB3,TRUE,-410,signal then direction,FALSE,FALSE,FALSE,TRUE,3,0.451388888888889
1184,TORRB3,TRUE,-320,signal then direction,FALSE,FALSE,TRUE,TRUE,3,0.479166666666667
1185,TORRB3,TRUE,-260,signal then direction,TRUE,FALSE,TRUE,TRUE,4,0.677083333333333
1204,TORRB3,TRUE,0,no exit signal ever,FALSE,FALSE,TRUE,TRUE,1,0.861111111111111
1205,TORRB3,TRUE,0,signal then direction,FALSE,FALSE,TRUE,TRUE,2,0.579861111111111
1207,TORRB3,TRUE,-585.416666666667,signal after direction,FALSE,FALSE,TRUE,TRUE,3,0.965277777777778
1209,TORRB3,TRUE,-548.666666666667,signal then direction,FALSE,FALSE,TRUE,TRUE,4,0.71875
1217,TORRB3,FALSE,56.1750225,signal then direction,FALSE,FALSE,TRUE,TRUE,2,0.3125
1420,TORRB4,FALSE,53.3333333333333,signal then direction,FALSE,FALSE,FALSE,TRUE,2,0.736111111111111
1423,TORRB4,FALSE,54.3701716666667,signal then direction,FALSE,FALSE,FALSE,TRUE,4,0
1428,TORRB4,TRUE,-50,signal then direction,FALSE,FALSE,FALSE,TRUE,3,0.642361111111111
1431,TORRB4,TRUE,-236.666666666667,signal then direction,FALSE,FALSE,FALSE,TRUE,4,0.652777777777778
1432,TORRB4,TRUE,-346.666666666667,signal then direction,FALSE,FALSE,TRUE,TRUE,1,0.885416666666667
1433,TORRB4,TRUE,-481.666666666667,signal then direction,FALSE,FALSE,TRUE,TRUE,2,0.951388888888889
1434,TORRB4,FALSE,60.4468891666667,signal then direction,FALSE,FALSE,FALSE,TRUE,2,0.614583333333333
1436,TORRB4,TRUE,-445,signal then direction,FALSE,FALSE,FALSE,TRUE,4,0.363636363636364
