episode_id,duid,window_hours,n_intervals_window,n_intervals_nobid_at_tau,nobid_day0,n_day0,nobid_day1plus,n_day1plus,excess_at_issue_mw,floor_first_interval,floor_task1,window_floor_mwh,window_output_mwh,window_excess_mwh,covered_excess_mwh,n_intervals_covered,window_excess_capped_mwh,window_excess_priceaware_mwh,share_intervals_excess_le0,mean_maxavail,survivor,survivor_covered
841,TORRB2,6.49972222222222,77,0,0,54,0,23,0,0,0,95,0,-95,-95,77,0,0,1,28.0519480519481,TRUE,TRUE
842,TORRB2,7.5,90,0,0,72,0,18,-60,60,60,380,0,-380,-380,90,-310,-876.666666666667,1,160,TRUE,TRUE
843,TORRB2,0.999722222222222,11,0,0,11,0,0,-60,60,60,55,0,-55,-55,11,0,0,1,0,TRUE,TRUE
844,TORRB2,7.00027777777778,85,0,0,67,0,18,-60,60,60,355,0,-355,-355,85,0,0,1,0,TRUE,TRUE
845,TORRB2,7.00027777777778,85,0,0,67,0,18,-60,60,60,355,0,-355,-355,85,0,0,1,0,TRUE,TRUE
846,TORRB2,5.50027777777778,67,0,0,67,0,0,-60,60,60,285,0,-285,-285,67,0,0,1,0,TRUE,TRUE
849,TORRB2,5.50027777777778,67,0,0,67,0,0,-60,60,60,285,0,-285,-285,67,0,0,1,0,TRUE,TRUE
854,TORRB2,7.00027777777778,85,0,0,67,0,18,-60,60,60,355,0,-355,-355,85,0,0,1,0,TRUE,TRUE
855,TORRB2,6.5,78,0,0,60,0,18,-20,60,60,320,260,-60,-60,78,260,260,1,0,TRUE,TRUE
858,TORRB2,5.50027777777778,67,0,0,49,0,18,-7.16417910447761,60,60,265,295,30,30,67,295,295,0.641791044776119,0,FALSE,FALSE
860,TORRB2,5.00027777777778,61,0,0,49,0,12,-60,60,60,235,0,-235,-235,61,0,0,1,0,TRUE,TRUE
872,TORRB2,11.0002777777778,133,0,0,121,0,12,-4.66165413533835,60,60,595,613.333333333333,18.3333333333333,18.3333333333333,133,613.333333333333,613.333333333333,0.729323308270677,0,FALSE,FALSE
876,TORRB2,6.5,78,0,0,60,0,18,-60,60,60,320,0,-320,-320,78,0,0,1,0,TRUE,TRUE
880,TORRB2,7.5,90,0,0,78,0,12,0,60,60,380,450,70,70,90,450,450,0.533333333333333,0,FALSE,FALSE
881,TORRB2,6.50027777777778,79,0,0,67,0,12,0,60,60,325,395,70,70,79,395,395,0.468354430379747,0,FALSE,FALSE
882,TORRB2,8,96,0,0,78,0,18,-1.12761907216495,60,60,410,470.885079166667,60.8850791666667,60.8850791666667,96,470.885079166667,470.885079166667,0.697916666666667,0,FALSE,FALSE
