episode_id,duid,class,first_exit_rel_h,ma_at_issue
863,TORRB2,signal then direction,-31.0302777777778,0
867,TORRB2,signal then direction,-4.02222222222222,0
869,TORRB2,signal then direction,-6.30888888888889,0
870,TORRB2,signal then direction,-5.28916666666667,0
871,TORRB2,signal after direction,25.0605555555556,
873,TORRB2,signal after direction,20.2986111111111,
874,TORRB2,signal then direction,-25.9472222222222,123.555555555556
877,TORRB2,signal then direction,-7.11,18.7777777777778
878,TORRB2,signal then direction,-6.25833333333333,0
879,TORRB2,signal then direction,-7.38055555555556,0
886,TORRB2,signal then direction,-0.0275,32.0379146919431
888,TORRB2,signal after direction,0.0591666666666667,
889,TORRB2,signal then direction,-9.67944444444444,108.388888888889
890,TORRB2,signal then direction,-0.737222222222222,19.8610421836228
1133,TORRB3,signal after direction,0.361666666666667,
1135,TORRB3,signal then direction,-5.90916666666667,0
1136,TORRB3,signal then direction,-0.558055555555556,62.8888888888889
1142,TORRB3,signal after direction,39.6013888888889,40
1146,TORRB3,signal after direction,7.84388888888889,40
1148,TORRB3,signal then direction,-6.88083333333333,0
1150,TORRB3,signal then direction,-6.17472222222222,0
1152,TORRB3,signal then direction,-4.40638888888889,0
1155,TORRB3,signal then direction,-29.4830555555556,86.7592592592593
1156,TORRB3,signal then direction,-43.9608333333333,0
1157,TORRB3,signal then direction,-11.3486111111111,16
1158,TORRB3,signal then direction,-5.69361111111111,40
1161,TORRB3,signal then direction,-7.86277777777778,0
1162,TORRB3,signal then direction,-5.13861111111111,0
1164,TORRB3,signal then direction,-5.09138888888889,40
1167,TORRB3,signal after direction,0.198888888888889,0
1168,TORRB3,signal then direction,-4.82972222222222,0
1171,TORRB3,signal then direction,-4.12833333333333,88.9333333333333
1172,TORRB3,signal then direction,-2.44722222222222,76.2666666666667
1173,TORRB3,signal then direction,-2.84527777777778,94.164705882353
1178,TORRB3,signal then direction,-1.215,11.8333333333333
1179,TORRB3,signal then direction,-32.5744444444445,0
1180,TORRB3,signal then direction,-2.17444444444444,39.6666666666667
1182,TORRB3,signal then direction,-6.0425,0
1183,TORRB3,signal then direction,-31.0427777777778,0
1186,TORRB3,signal then direction,-30.6227777777778,28.2931937172775
1187,TORRB3,signal then direction,-27.9138888888889,40
1188,TORRB3,signal then direction,-3.12916666666667,0
1190,TORRB3,signal then direction,-8.43333333333333,41.4715025906736
1192,TORRB3,signal then direction,-8.25361111111111,1.36585365853659
1193,TORRB3,signal then direction,-0.650277777777778,43.3555555555556
1194,TORRB3,signal then direction,-6.91138888888889,0
1195,TORRB3,signal after direction,20.2986111111111,
1197,TORRB3,signal then direction,-29.6322222222222,0
1200,TORRB3,signal then direction,-4.61361111111111,119.157894736842
1202,TORRB3,signal then direction,-7.2125,0
1210,TORRB3,signal then direction,-31.2041666666667,29.9145299145299
1212,TORRB3,signal after direction,15.8875,40
1213,TORRB3,signal then direction,-7.3225,0
1214,TORRB3,signal then direction,-9.51333333333333,0
1216,TORRB3,signal then direction,-25.3386111111111,0
1218,TORRB3,signal after direction,15.5161111111111,
1219,TORRB3,signal after direction,18.1575,0
1220,TORRB3,signal then direction,-9.67944444444444,86.126582278481
1223,TORRB3,signal then direction,-29.6069444444444,0
1419,TORRB4,signal then direction,-3.51166666666667,44.7567567567568
1421,TORRB4,signal after direction,17.4661111111111,
1422,TORRB4,signal then direction,-8.83611111111111,40
1424,TORRB4,signal then direction,-3.89472222222222,0
1427,TORRB4,signal then direction,-6.5625,0
1429,TORRB4,signal then direction,-2.61944444444444,0
1430,TORRB4,signal then direction,-32.5566666666667,0
1439,TORRB4,signal after direction,19.7961111111111,40
1441,TORRB4,signal then direction,-1.46138888888889,0
1442,TORRB4,signal then direction,-1.02722222222222,0
1449,TORRB4,signal then direction,-6.43361111111111,32.579185520362
1453,TORRB4,no exit signal ever,,
1454,TORRB4,signal then direction,-31.7297222222222,26.2142857142857
1455,TORRB4,signal then direction,-24.4677777777778,0
1458,TORRB4,signal then direction,-24.6736111111111,35.3970826580227
1459,TORRB4,signal then direction,-30.1611111111111,0
1460,TORRB4,signal then direction,-5.38944444444444,47.1428571428571
1468,TORRB4,signal then direction,-6.57888888888889,21.1764705882353
1469,TORRB4,signal then direction,-29.0788888888889,0
1471,TORRB4,signal then direction,-24.6280555555556,0
1472,TORRB4,signal then direction,-28.6911111111111,31.2962962962963
1474,TORRB4,signal then direction,-4.66666666666667,0
1475,TORRB4,signal then direction,-30.6663888888889,0
1478,TORRB4,signal then direction,-20.5641666666667,41.1463414634146
1479,TORRB4,signal then direction,-20.4533333333333,0
1480,TORRB4,signal then direction,-6.00638888888889,40
1481,TORRB4,signal after direction,4.43583333333333,40
1482,TORRB4,no exit signal ever,,
1483,TORRB4,signal then direction,-24.1038888888889,0
1484,TORRB4,signal then direction,-31.2041666666667,40
1488,TORRB4,signal then direction,-33.5133333333333,0
1489,TORRB4,signal then direction,-3.93222222222222,93.3333333333333
