DUIDg,yyyymm,DUID,mw_le0,mw_le300,mw_le1000,avail,top2,pct_iv_zero_cheap,pct_iv_full_cheap,d_t,n_dir,ess_n0,ess_n1,gas_gj,srmc
TORR,202206,TORRB2,36.9388888888889,38.4423611111111,109.751388888889,153.731944444444,43.9805555555556,41,4.3,,6,7,14,29.85,299.209
TORR,202206,TORRB3,34.8546296296296,38.2539351851852,111.85,157.35462962963,45.5046296296296,42.8,4.2,,3,7,14,29.85,299.209
TORR,202206,TORRB4,4.87638888888889,4.87638888888889,11.7423611111111,15.5270833333333,3.78472222222222,92,0,,0,7,14,29.85,299.209
TORR,202207,TORRB2,36.317876344086,40.4341397849462,116.164650537634,129.343413978495,13.1787634408602,32.1,1.3,350,4,1,8,27.29,273.7626
TORR,202207,TORRB3,42.6344086021505,47.1202956989247,147.077956989247,172.177419354839,25.0994623655914,17.2,1.5,350,5,1,8,27.29,273.7626
TORR,202207,TORRB4,21.8454301075269,22.6653225806452,74.7627688172043,85.1075268817204,10.3447580645161,55.4,0,350,3,1,8,27.29,273.7626
TORR,202208,TORRB2,1.38440860215054,4.29099462365591,4.29099462365591,9.81182795698925,5.52083333333333,97.3,1.6,378,2,3,20,27.29,273.7626
TORR,202208,TORRB3,23.4287634408602,59.5577956989247,64.8736559139785,103.012768817204,38.1391129032258,55.8,21.8,378,11,3,20,27.29,273.7626
TORR,202208,TORRB4,28.4071460573477,65.5266577060932,77.3176523297491,117.026433691756,39.6415770609319,42.7,20.3,378,2,3,20,27.29,273.7626
TORR,202209,TORRB2,0,0,0,0,0,100,0,365,0,7,17,27.29,273.7626
TORR,202209,TORRB3,14.6689814814815,28.1037037037037,29.1592592592593,65.4540509259259,36.0690972222222,71.8,8.1,365,9,7,17,27.29,273.7626
TORR,202209,TORRB4,35.6527777777778,75.4618055555556,79.6388888888889,151.166666666667,71.2847222222222,29,22.8,365,4,7,17,27.29,273.7626
TORR,202210,TORRB2,16.8568548387097,37.0866935483871,44.7694892473118,70.3192204301075,25.5497311827957,68.8,13.2,351,7,1,25,18.59,187.2846
TORR,202210,TORRB3,18.2123655913979,36.8985215053763,39.7244623655914,78.8440860215054,39.119623655914,67.1,12.8,351,15,1,25,18.59,187.2846
TORR,202210,TORRB4,12.5033602150538,22.8393817204301,27.9704301075269,46.0013440860215,18.0309139784946,76.2,6.5,351,4,1,25,18.59,187.2846
TORR,202211,TORRB2,18.4944444444444,45.5774305555556,51.6576388888889,80.5034722222222,27.5465277777778,66.2,16.3,346,15,2,18,18.59,187.2846
TORR,202211,TORRB3,0.793055555555556,2.29305555555556,2.34861111111111,8.44444444444445,6.06458333333333,98.5,1,346,6,2,18,18.59,187.2846
TORR,202211,TORRB4,16.9951388888889,40.6958333333333,46.0152777777778,68.1902777777778,20.4805555555556,69.9,14.3,346,11,2,18,18.59,187.2846
TORR,202212,TORRB2,10.7123655913979,18.1216397849462,29.758064516129,52.8343413978495,23.0762768817204,78.9,3,334,11,3,19,18.59,187.2846
TORR,202212,TORRB3,2.30824372759857,3.01724910394265,4.27732974910394,19.1362007168459,14.8588709677419,96.8,0.6,334,5,3,19,18.59,187.2846
TORR,202212,TORRB4,5.47715053763441,11.6431451612903,16.2856182795699,38.0220654121864,21.7364471326165,90.2,2.9,334,14,3,19,18.59,187.2846
TORR,202301,TORRB2,9.43817204301075,9.77083333333333,16.1619623655914,51.9413082437276,35.7793458781362,81.9,0,326,11,0,15,12.59,127.6446
TORR,202301,TORRB3,3.17338709677419,3.66397849462366,5.84475806451613,22.1890681003584,16.3443100358423,94.1,0.1,326,11,0,15,12.59,127.6446
TORR,202301,TORRB4,6.46505376344086,7.02284946236559,11.6599462365591,33.0813172043011,21.4213709677419,88.5,0,326,8,0,15,12.59,127.6446
TORR,202302,TORRB2,11.421130952381,16.6964285714286,18.7619047619048,47.125,28.3630952380952,81.2,3.9,328,13,0,10,12.59,127.6446
TORR,202302,TORRB3,7.76041666666667,11.811755952381,12.1465773809524,39.8834325396825,27.7368551587302,87.5,2.9,328,15,0,10,12.59,127.6446
TORR,202302,TORRB4,4.66145833333333,5.47767857142857,5.51488095238095,24.2569444444444,18.7420634920635,92.3,0.4,328,9,0,10,12.59,127.6446
TORR,202303,TORRB2,0,0,0,0,0,100,0,329,0,2,3,12.59,127.6446
TORR,202303,TORRB3,13.1061827956989,19.2184139784946,20.2970430107527,54.7441756272402,34.4471326164875,75,2.8,329,17,2,3,12.59,127.6446
TORR,202303,TORRB4,2.70642921146953,5.89191308243728,5.89191308243728,20.3693996415771,14.4774865591398,95.1,2.1,329,14,2,3,12.59,127.6446
TORR,202304,TORRB2,0,0,0,0,0,100,0,328,0,0,1,15.18,153.3892
TORR,202304,TORRB3,22.4137731481482,27.6954861111111,27.9385416666667,51.2258101851852,23.2872685185185,63.4,0,328,4,0,1,15.18,153.3892
TORR,202304,TORRB4,1.27916666666667,1.9875,1.9875,5.34305555555556,3.35555555555556,97.6,0.4,328,2,0,1,15.18,153.3892
TORR,202305,TORRB2,0,0,0,0,0,100,0,323,0,0,2,15.18,153.3892
TORR,202305,TORRB3,7.45967741935484,8.91465053763441,8.91465053763441,16.1626344086022,7.24798387096774,87.6,0,323,0,0,2,15.18,153.3892
TORR,202305,TORRB4,34.5150089605735,69.3167562724014,69.4847670250896,127.208781362007,57.7240143369176,36.6,19.6,323,5,0,2,15.18,153.3892
TORR,202306,TORRB2,18.2372685185185,37.9560185185185,40.4921296296296,77.5201388888889,37.0280092592593,66.7,13,298,7,0,7,15.18,153.3892
TORR,202306,TORRB3,2.64236111111111,5.21875,5.21875,13.03125,7.8125,94.7,1.4,298,1,0,7,15.18,153.3892
TORR,202306,TORRB4,14.0263888888889,32.1854166666667,32.4180555555556,54.9069444444444,22.4888888888889,72.4,9.6,298,3,0,7,15.18,153.3892
TORR,202307,TORRB2,9.3239247311828,20.2681451612903,20.2681451612903,41.6317204301075,21.3635752688172,82.4,7.6,249,3,0,9,10.8,109.852
TORR,202307,TORRB3,11.7506720430108,22.2211021505376,23.4442204301075,44.8384856630824,21.3942652329749,77.6,6.5,249,1,0,9,10.8,109.852
TORR,202307,TORRB4,11.6424731182796,17.8790322580645,17.8790322580645,47.1995967741936,29.320564516129,78.6,3.9,249,6,0,9,10.8,109.852
TORR,202308,TORRB2,0,0,0,0,0,100,0,230,0,0,6,10.8,109.852
TORR,202308,TORRB3,18.146729390681,24.1178315412186,24.1178315412186,72.4338037634409,48.2218862007169,64.3,2.7,230,10,0,6,10.8,109.852
TORR,202308,TORRB4,21.5806451612903,30.2009408602151,30.2009408602151,84.4148745519713,54.2139336917563,59.5,4.9,230,6,0,6,10.8,109.852
TORR,202309,TORRB2,1.08333333333333,1.67708333333333,1.67708333333333,8.86111111111111,7.18402777777778,97.5,0.3,221,5,0,11,10.8,109.852
TORR,202309,TORRB3,12.75,19.9201388888889,19.9201388888889,61.8333333333333,41.9131944444445,75.7,4.7,221,15,0,11,10.8,109.852
TORR,202309,TORRB4,1.69652777777778,2.04722222222222,2.04722222222222,7.21875,5.17152777777778,97,0,221,2,0,11,10.8,109.852
TORR,202310,TORRB2,0.564516129032258,0.564516129032258,0.564516129032258,14.0329301075269,13.4684139784946,99.3,0,193,9,3,22,11.23,114.1262
TORR,202310,TORRB3,0,0,0,0,0,100,0,193,0,3,22,11.23,114.1262
TORR,202310,TORRB4,2.28494623655914,2.28494623655914,2.28494623655914,27.6356406810036,25.3506944444444,95.7,0,193,15,3,22,11.23,114.1262
TORR,202311,TORRB2,2.15277777777778,3.43055555555556,3.43055555555556,16.7481481481482,13.3175925925926,95.7,0.8,187,7,2,16,11.23,114.1262
TORR,202311,TORRB3,2.13888888888889,3.72569444444444,3.72569444444444,16.7990740740741,13.0733796296296,96.2,1,187,10,2,16,11.23,114.1262
TORR,202311,TORRB4,4.55555555555556,8.95625,8.95625,27.2930555555556,18.3368055555556,91.5,3.1,187,12,2,16,11.23,114.1262
TORR,202312,TORRB2,9.70206093189964,13.4164426523298,13.4164426523298,38.7208781362007,25.304435483871,81.6,2.6,180,5,0,0,11.23,114.1262
TORR,202312,TORRB3,1.27105734767025,2.22535842293907,2.22535842293907,20.3969534050179,18.1715949820789,97.5,0.7,180,3,0,0,11.23,114.1262
TORR,202312,TORRB4,1.5994623655914,3.10147849462366,3.10147849462366,12.1653225806452,9.06384408602151,96.8,1,180,4,0,0,11.23,114.1262
TORR,202401,TORRB2,1.1122311827957,1.68010752688172,1.68010752688172,3.41061827956989,1.73051075268817,98.1,0.3,179,0,0,0,11.65,118.301
TORR,202401,TORRB3,6.47849462365591,11.5638440860215,11.5638440860215,49.5161290322581,37.9522849462366,87.9,3.1,179,13,0,0,11.65,118.301
TORR,202401,TORRB4,3.72311827956989,7.68817204301075,7.68817204301075,21.9292114695341,14.2410394265233,92.7,2.4,179,2,0,0,11.65,118.301
TORR,202402,TORRB2,15.3376436781609,32.7909482758621,37.1659482758621,70.7993295019157,33.6333812260536,71,9.4,179,7,0,4,11.65,118.301
TORR,202402,TORRB3,3.85057471264368,6.49425287356322,7.71192528735632,26.4942528735632,18.7823275862069,92.6,1.7,179,1,0,4,11.65,118.301
TORR,202402,TORRB4,13.2988505747126,28.3132183908046,31.7974137931035,55.0641762452107,23.2667624521073,74.9,7.7,179,7,0,4,11.65,118.301
TORR,202403,TORRB2,16.1424731182796,31.2533602150538,31.9086021505376,68.4296594982079,36.5210573476703,71.4,8.6,179,8,0,5,11.65,118.301
TORR,202403,TORRB3,17.1639784946237,32.1202956989247,32.883064516129,67.9068100358423,35.0237455197133,69.6,8.9,179,4,0,5,11.65,118.301
TORR,202403,TORRB4,2.05645161290323,3.73655913978495,3.73655913978495,8.53270609318996,4.79614695340502,96.1,1,179,2,0,5,11.65,118.301
TORR,202404,TORRB2,14.4943287037037,34.7144675925926,34.7144675925926,64.3130787037037,29.5986111111111,73.1,10.8,179,14,0,17,13.86,140.2684
TORR,202404,TORRB3,16.4722222222222,32.34375,33.5486111111111,68.6826388888889,35.1340277777778,69.5,8.5,179,10,0,17,13.86,140.2684
TORR,202404,TORRB4,0,0,0,0,0,100,0,179,0,0,17,13.86,140.2684
TORR,202405,TORRB2,24.9731182795699,47.7184139784946,48.6727150537634,97.5692204301075,48.8965053763441,52.2,13.2,176,9,0,2,13.86,140.2684
TORR,202405,TORRB3,10.1579301075269,15.2217741935484,15.2217741935484,39.7768817204301,24.5551075268817,82.2,4,176,5,0,2,13.86,140.2684
TORR,202405,TORRB4,3.23588709677419,4.05241935483871,4.05241935483871,5.72244623655914,1.67002688172043,96.3,1.5,176,0,0,2,13.86,140.2684
TORR,202406,TORRB2,6.42708333333333,12.15625,16.6493055555556,23.8020833333333,7.15277777777778,87.8,3.2,178,0,1,3,13.86,140.2684
TORR,202406,TORRB3,43.6311342592593,85.0748842592593,90.7311342592593,150.633912037037,59.9027777777778,17.1,24.7,178,2,1,3,13.86,140.2684
TORR,202406,TORRB4,33.9444444444444,76.4451388888889,76.7541666666667,127.816666666667,51.0625,37.4,24.9,178,5,1,3,13.86,140.2684
TORR,202407,TORRB2,15.4052419354839,33.6747311827957,33.6747311827957,59.986335125448,26.3116039426523,71,11.4,216,4,0,6,12.78,129.5332
TORR,202407,TORRB3,25.241935483871,57.0060483870968,57.0060483870968,91.9124103942652,34.9063620071685,52.4,22,216,6,0,6,12.78,129.5332
TORR,202407,TORRB4,38.6424731182796,89.7721774193548,89.7721774193548,154.059139784946,64.2869623655914,26.7,31.2,216,7,0,6,12.78,129.5332
TORR,202408,TORRB2,18.5047043010753,40.0201612903226,42.8461021505376,85.9397401433692,42.8550627240143,64.7,13.6,222,9,0,3,12.78,129.5332
TORR,202408,TORRB3,26.1290322580645,58.6189516129032,63.934811827957,117.069892473118,52.8965053763441,50.3,20.7,222,11,0,3,12.78,129.5332
TORR,202408,TORRB4,2.97043010752688,5.77956989247312,7.63440860215054,11.9086021505376,4.2741935483871,94.4,2,222,2,0,3,12.78,129.5332
TORR,202409,TORRB2,2.73819444444444,4.63541666666667,4.63541666666667,23.1293981481482,18.4939814814815,95.1,1.2,220,7,3,13,12.78,129.5332
TORR,202409,TORRB3,3,5.33333333333333,5.33333333333333,27.5833333333333,22.25,94.5,1.3,220,6,3,13,12.78,129.5332
TORR,202409,TORRB4,10.7222222222222,16.9826388888889,16.9826388888889,62.0898148148148,45.1071759259259,78.5,3.4,220,11,3,13,12.78,129.5332
TORR,202410,TORRB2,0.92741935483871,1.31384408602151,1.31384408602151,12.2043010752688,10.8904569892473,98.5,0.3,222,4,12,21,13.55,137.187
TORR,202410,TORRB3,2.46975806451613,3.70766129032258,3.70766129032258,22.9838709677419,19.2762096774194,95.6,0.8,222,10,12,21,13.55,137.187
TORR,202410,TORRB4,6.50537634408602,12.0725806451613,12.0725806451613,52.9569892473118,40.8844086021505,88,3.9,222,11,12,21,13.55,137.187
TORR,202411,TORRB2,15.6527777777778,41.875,42.6215277777778,61.5078703703704,18.8863425925926,71.9,17.6,223,5,6,12,13.55,137.187
TORR,202411,TORRB3,17.9722222222222,48.6451388888889,49.3916666666667,83.1701388888889,33.7784722222222,67.6,20.7,223,8,6,12,13.55,137.187
TORR,202411,TORRB4,5.28946759259259,12.8255787037037,12.8255787037037,28.2501157407407,15.424537037037,89.8,5.2,223,6,6,12,13.55,137.187
TORR,202412,TORRB2,24.2338709677419,62.4159946236559,62.4159946236559,103.360215053763,40.9442204301075,53.6,24.9,225,3,0,2,13.55,137.187
TORR,202412,TORRB3,21.9751344086021,57.9670698924731,57.9670698924731,103.101478494624,45.1344086021505,56.7,23.9,225,3,0,2,13.55,137.187
TORR,202412,TORRB4,7.82258064516129,14.5262096774194,14.5262096774194,29.7715053763441,15.2452956989247,85,4.3,225,1,0,2,13.55,137.187
