term,estimate,std.error,statistic,p.value,nobs,sample,outcome,loss
essential_dayTRUE,-0.0473933989332278,0.0362925051644225,-1.30587289906037,0.211268762018348,433,(iii) base minus pre-suspension June,rank,with loss control
srmc,-0.06620721874069,0.0120266525255968,-5.50504129056514,6.04797831592768e-05,433,(iii) base minus pre-suspension June,rank,with loss control
dem,-1.40346998645554e-05,4.17927811171725e-05,-0.335816365635179,0.74166053713914,433,(iii) base minus pre-suspension June,rank,with loss control
ns,-1.26294671643173e-06,4.52577740434935e-05,-0.0279056304275596,0.978105306374458,433,(iii) base minus pre-suspension June,rank,with loss control
rrp,1.81593855310215e-05,5.72819962358893e-05,0.317017330475713,0.755599966730665,433,(iii) base minus pre-suspension June,rank,with loss control
slope_mean,-0.00898567969171423,0.0101242639653345,-0.887539056911322,0.38879852416684,433,(iii) base minus pre-suspension June,rank,with loss control
sat_share,0.551525794796097,0.425192863730961,1.29711912367624,0.214187351105699,433,(iii) base minus pre-suspension June,rank,with loss control
exp_loss,0.000161416581843718,0.00011560911081489,1.39622717194126,0.1829672480506,433,(iii) base minus pre-suspension June,rank,with loss control
essential_dayTRUE:comp_price_100,0.0174619385256063,0.0153078042060653,1.14072131381766,0.271872145591632,433,(iii) base minus pre-suspension June,rank,with loss control
essential_dayTRUE:exp_loss,-8.96732775382747e-05,0.000171965279832922,-0.521461527730478,0.609659004273101,433,(iii) base minus pre-suspension June,rank,with loss control
essential_dayTRUE,-0.115297674070716,0.122828389500986,-0.938689129924565,0.362760698439975,433,(iii) base minus pre-suspension June,A_withdrawal,no loss control
srmc,-0.360075083295239,0.0222395645964257,-16.1907433814198,6.57251524504375e-11,433,(iii) base minus pre-suspension June,A_withdrawal,no loss control
dem,-5.46436646802085e-05,0.00025741828787696,-0.212275767704301,0.834749515476546,433,(iii) base minus pre-suspension June,A_withdrawal,no loss control
ns,-8.94857128145036e-05,0.000172858073780071,-0.517683153917111,0.612229635693007,433,(iii) base minus pre-suspension June,A_withdrawal,no loss control
rrp,-0.000133262790958836,0.000242691934526887,-0.549102677098123,0.591016118889195,433,(iii) base minus pre-suspension June,A_withdrawal,no loss control
slope_mean,0.0164181346341807,0.0151881881970111,1.08098045805171,0.296779635628225,433,(iii) base minus pre-suspension June,A_withdrawal,no loss control
sat_share,0.483386884390855,0.631959320038088,0.764901899637656,0.456196314061469,433,(iii) base minus pre-suspension June,A_withdrawal,no loss control
essential_dayTRUE:comp_price_100,0.0188466572097739,0.048298936308243,0.39020853563927,0.701867582936169,433,(iii) base minus pre-suspension June,A_withdrawal,no loss control
