DUID,regime,q,norm,ratio,lo,hi,price,plo,phi,n_mth
TORRB3,DP,0.35,MAXAVAIL,127.537594670049,82.7120863114212,140.277935097759,15490.7,15490.7,16595.02,31
TORRB4,UN,0.35,MAXAVAIL,2.56706489971711,1.30142773061397,125.992708994077,349.375,229.85,16318.94,34
TORRB4,UP,0.35,MAXAVAIL,127.537594670049,50.4613497588642,145.409380142334,15490.7,15098.49,16595.02,33
TORRB4,DP,0.35,MAXAVAIL,127.537594670049,82.7120863114212,145.409380142334,15490.7,15490.7,16595.02,29
TORRB4,DN,0.35,MAXAVAIL,68.9578854855124,2.22233962519336,131.305536950814,15490.7,348.97,16595.02,31
BARKIPS1,UN,0.4,MAXAVAIL,140.673197518728,3.76231179965502,159.874214410991,15493.8,560.76,16600,35
DRYCGT1,UN,0.4,MAXAVAIL,109.592954993486,31.4958454247693,117.445075899193,15887.72,4605.08,15887.72,35
DRYCGT2,UN,0.4,MAXAVAIL,109.592954993486,88.6819497367496,120.016810366689,16586.72,15486.05,16586.72,35
DRYCGT3,UN,0.4,MAXAVAIL,109.076421031813,31.4327864345202,115.730558655826,15787.8,4595.86,15787.8,35
OSB-AG,UN,0.4,MAXAVAIL,0.1,0.1,0.1,-999.4,-999.9,-999.2,33
PPCCGT,UN,0.4,MAXAVAIL,0.1,0.1,0.1,-998.4,-998.625,-998.3,34
PPCCGT,UP,0.4,MAXAVAIL,0.1,0.1,0.1,-998.4,-998.625,-998.3,34
QPS5,UN,0.4,MAXAVAIL,145.024055947807,118.110622201637,165.541471037479,15905.205,15300.05,16510.36,34
TORRB2,UN,0.4,MAXAVAIL,2.38735194306602,1.25951166930451,111.696560552477,349.375,229.8675,15490.7,30
TORRB2,UP,0.4,MAXAVAIL,127.537594670049,82.7120863114212,144.12651888119,16042.86,15490.7,16595.02,30
TORRB3,UN,0.4,MAXAVAIL,3.36876796750259,1.35826182013569,121.358051966162,377.79,200.97,16595.02,34
TORRB3,UP,0.4,MAXAVAIL,121.358051966162,82.7120863114212,140.277935097759,15490.7,15490.7,16595.02,34
TORRB3,DN,0.4,MAXAVAIL,121.358051966162,23.4044859860306,140.277935097759,15490.7,6737.675,16595.02,31
TORRB3,DP,0.4,MAXAVAIL,127.537594670049,82.7120863114212,140.277935097759,15490.7,15490.7,16595.02,31
TORRB4,UN,0.4,MAXAVAIL,2.86691855781929,1.30142773061397,125.992708994077,349.375,229.85,16318.94,34
TORRB4,UP,0.4,MAXAVAIL,127.537594670049,50.4613497588642,145.409380142334,15490.7,15098.49,16595.02,33
TORRB4,DP,0.4,MAXAVAIL,127.537594670049,82.7120863114212,145.409380142334,15490.7,15490.7,16595.02,29
TORRB4,DN,0.4,MAXAVAIL,68.9578854855124,2.22233962519336,131.305536950814,15490.7,348.97,16595.02,31
BARKIPS1,UN,0.45,MAXAVAIL,140.673197518728,3.76231179965502,159.874214410991,15493.8,560.76,16600,35
DRYCGT1,UN,0.45,MAXAVAIL,109.592954993486,31.4958454247693,117.445075899193,15887.72,4605.08,15887.72,35
