DUID,cut,q,norm,ratio,lo,hi,price,plo,phi,n_mth
OSB-AG,ALL,0.6,MAXAVAIL,0.1,0.1,0.1,-999.4,-999.9,-999.2,33
PPCCGT,ALL,0.6,MAXAVAIL,0.1,0.1,0.1,-998.4,-998.625,-998.3,34
QPS5,ALL,0.6,MAXAVAIL,145.024055947807,118.110622201637,165.541471037479,15905.205,15300.05,16510.36,34
TORRB2,ALL,0.6,MAXAVAIL,123.415415087028,72.3964356919896,140.277935097759,16042.86,15098.49,16595.02,30
TORRB3,ALL,0.6,MAXAVAIL,121.358051966162,82.7120863114212,140.277935097759,15490.7,15098.49,16595.02,34
TORRB4,ALL,0.6,MAXAVAIL,126.505186438971,83.0830531890765,140.277935097759,15490.7,13522.8975,16595.02,34
BARKIPS1,ALL,0.65,MAXAVAIL,143.499643422771,59.7125014761106,165.100203888806,15493.8,12917.32,16600,35
DRYCGT1,ALL,0.65,MAXAVAIL,109.592954993486,31.4958454247693,117.445075899193,15887.72,4605.08,15887.72,35
DRYCGT2,ALL,0.65,MAXAVAIL,109.592954993486,88.6819497367496,120.016810366689,16586.72,15486.05,16586.72,35
DRYCGT3,ALL,0.65,MAXAVAIL,109.076421031813,31.4327864345202,115.730558655826,15787.8,4595.86,15787.8,35
OSB-AG,ALL,0.65,MAXAVAIL,0.1,0.1,0.1,-999.4,-999.9,-999.2,33
PPCCGT,ALL,0.65,MAXAVAIL,0.1,0.1,0.1,-998.4,-998.625,-998.3,34
QPS5,ALL,0.65,MAXAVAIL,145.024055947807,118.110622201637,165.541471037479,15905.205,15300.05,16510.36,34
TORRB2,ALL,0.65,MAXAVAIL,126.505186438971,82.7120863114212,140.277935097759,16042.86,15098.49,16595.02,30
TORRB3,ALL,0.65,MAXAVAIL,124.447823318106,84.1959538220423,140.277935097759,16042.86,15490.7,16595.02,34
TORRB4,ALL,0.65,MAXAVAIL,126.505186438971,83.0830531890765,140.277935097759,15490.7,13522.8975,16595.02,34
BARKIPS1,ALL,0.7,MAXAVAIL,143.499643422771,72.4614688957548,165.100203888806,15493.8,12917.32,16600,35
DRYCGT1,ALL,0.7,MAXAVAIL,109.592954993486,31.4958454247693,117.445075899193,15887.72,4605.08,15887.72,35
DRYCGT2,ALL,0.7,MAXAVAIL,109.592954993486,88.6819497367496,120.016810366689,16586.72,15486.05,16586.72,35
DRYCGT3,ALL,0.7,MAXAVAIL,109.076421031813,31.4327864345202,115.730558655826,15787.8,4595.86,15787.8,35
OSB-AG,ALL,0.7,MAXAVAIL,0.1,0.1,0.1,-999.4,-999.9,-999.2,33
PPCCGT,ALL,0.7,MAXAVAIL,0.1,0.1,0.1,-998.4,-998.4,-998.3,34
QPS5,ALL,0.7,MAXAVAIL,145.024055947807,118.110622201637,165.541471037479,15905.205,15300.05,16510.36,34
TORRB2,ALL,0.7,MAXAVAIL,127.537594670049,87.2814419935034,140.277935097759,16595.02,15490.7,16595.02,30
TORRB3,ALL,0.7,MAXAVAIL,124.447823318106,84.1959538220423,140.277935097759,16042.86,15490.7,16595.02,34
TORRB4,ALL,0.7,MAXAVAIL,126.505186438971,87.2814419935034,140.277935097759,15490.7,15196.5425,16595.02,34
BARKIPS1,ALL,0.75,MAXAVAIL,143.499643422771,83.1385522394784,165.100203888806,15493.8,12917.32,16600,35
DRYCGT1,ALL,0.75,MAXAVAIL,109.592954993486,31.4958454247693,117.445075899193,15887.72,4605.08,15887.72,35
DRYCGT2,ALL,0.75,MAXAVAIL,109.592954993486,88.6819497367496,120.016810366689,16586.72,15486.05,16586.72,35
DRYCGT3,ALL,0.75,MAXAVAIL,109.076421031813,31.4327864345202,115.730558655826,15787.8,4595.86,15787.8,35
OSB-AG,ALL,0.75,MAXAVAIL,0.1,0.1,0.1,-999.4,-999.9,-999.2,33
PPCCGT,ALL,0.75,MAXAVAIL,1.19265575409415,1.02000954492015,1.42122871623336,122.74,98.7725,170.9825,34
QPS5,ALL,0.75,MAXAVAIL,145.024055947807,118.110622201637,165.541471037479,15905.205,15300.05,16510.36,34
TORRB2,ALL,0.75,MAXAVAIL,127.537594670049,87.2814419935034,140.277935097759,16595.02,15490.7,16595.02,30
TORRB3,ALL,0.75,MAXAVAIL,124.447823318106,84.1959538220423,140.277935097759,16042.86,15490.7,16595.02,34
TORRB4,ALL,0.75,MAXAVAIL,126.505186438971,87.2814419935034,140.277935097759,15490.7,15490.7,16595.02,34
BARKIPS1,ALL,0.8,MAXAVAIL,143.499643422771,83.1385522394784,165.100203888806,15493.8,12917.32,16600,35
DRYCGT1,ALL,0.8,MAXAVAIL,109.592954993486,31.4958454247693,117.445075899193,15887.72,4605.08,15887.72,35
DRYCGT2,ALL,0.8,MAXAVAIL,109.592954993486,88.6819497367496,120.016810366689,16586.72,15486.05,16586.72,35
DRYCGT3,ALL,0.8,MAXAVAIL,109.076421031813,31.4327864345202,115.730558655826,15787.8,4595.86,15787.8,35
OSB-AG,ALL,0.8,MAXAVAIL,0.827950170224347,0.1,1.04369479656726,94.34,-999.2,128.99,33
PPCCGT,ALL,0.8,MAXAVAIL,1.32874321125392,1.06179922610025,1.63403195213785,160.17,109.7575,172.9075,34
QPS5,ALL,0.8,MAXAVAIL,145.024055947807,118.110622201637,165.541471037479,15905.205,15300.05,16510.36,34
TORRB2,ALL,0.8,MAXAVAIL,127.537594670049,87.2814419935034,140.277935097759,16595.02,15490.7,16595.02,30
TORRB3,ALL,0.8,MAXAVAIL,124.447823318106,84.1959538220423,140.277935097759,16042.86,15490.7,16595.02,34
TORRB4,ALL,0.8,MAXAVAIL,127.537594670049,87.2814419935034,144.12651888119,15490.7,15490.7,16595.02,34
BARKIPS1,ALL,0.85,MAXAVAIL,143.499643422771,99.721312213991,165.100203888806,15493.8,15095.47,16600,35
DRYCGT1,ALL,0.85,MAXAVAIL,109.592954993486,31.4958454247693,117.445075899193,15887.72,4605.08,15887.72,35
DRYCGT2,ALL,0.85,MAXAVAIL,109.592954993486,88.6819497367496,120.016810366689,16586.72,15486.05,16586.72,35
DRYCGT3,ALL,0.85,MAXAVAIL,109.076421031813,31.4327864345202,115.730558655826,15787.8,4595.86,15787.8,35
OSB-AG,ALL,0.85,MAXAVAIL,0.934756228768568,0.804965289391592,1.1972088165628,104.99,93.93,137.62,33
PPCCGT,ALL,0.85,MAXAVAIL,1.58892928004827,1.27800899995218,1.72997433009295,170.24,122.735,205.5875,34
QPS5,ALL,0.85,MAXAVAIL,145.024055947807,118.110622201637,165.541471037479,15905.205,15300.05,16510.36,34
TORRB2,ALL,0.85,MAXAVAIL,127.537594670049,87.2814419935034,140.277935097759,16595.02,15490.7,16595.02,30
TORRB3,ALL,0.85,MAXAVAIL,124.447823318106,84.1959538220423,140.277935097759,16042.86,15490.7,16595.02,34
TORRB4,ALL,0.85,MAXAVAIL,127.537594670049,87.2814419935034,144.12651888119,15490.7,15490.7,16595.02,34
BARKIPS1,ALL,0.9,MAXAVAIL,143.499643422771,104.615113583013,165.100203888806,15493.8,15095.47,16600,35
DRYCGT1,ALL,0.9,MAXAVAIL,109.592954993486,31.4958454247693,117.445075899193,15887.72,4605.08,15887.72,35
DRYCGT2,ALL,0.9,MAXAVAIL,109.592954993486,88.6819497367496,120.016810366689,16586.72,15486.05,16586.72,35
DRYCGT3,ALL,0.9,MAXAVAIL,109.076421031813,31.4327864345202,115.730558655826,15787.8,4595.86,15787.8,35
OSB-AG,ALL,0.9,MAXAVAIL,0.945464832052813,0.827950170224347,1.1972088165628,104.99,94.34,140.31,33
PPCCGT,ALL,0.9,MAXAVAIL,1.65237163392642,1.27800899995218,1.98262025314413,173.16,170.155,226.08,34
QPS5,ALL,0.9,MAXAVAIL,145.024055947807,118.110622201637,165.541471037479,15905.205,15300.05,16510.36,34
TORRB2,ALL,0.9,MAXAVAIL,127.537594670049,105.319392231917,140.277935097759,16595.02,15490.7,16595.02,30
TORRB3,ALL,0.9,MAXAVAIL,124.447823318106,84.1959538220423,140.277935097759,16042.86,15490.7,16595.02,34
TORRB4,ALL,0.9,MAXAVAIL,127.537594670049,87.2814419935034,144.12651888119,15490.7,15490.7,16595.02,34
BARKIPS1,ALL,0.95,MAXAVAIL,143.499643422771,108.888444034502,165.100203888806,15493.8,15095.47,16600,35
DRYCGT1,ALL,0.95,MAXAVAIL,109.592954993486,31.4958454247693,117.445075899193,15887.72,4605.08,15887.72,35
DRYCGT2,ALL,0.95,MAXAVAIL,109.592954993486,88.6819497367496,120.016810366689,16586.72,15486.05,16586.72,35
DRYCGT3,ALL,0.95,MAXAVAIL,109.076421031813,31.4327864345202,115.730558655826,15787.8,4595.86,15787.8,35
OSB-AG,ALL,0.95,MAXAVAIL,0.993142505442821,0.827950170224347,1.20016046325043,118.99,94.34,140.31,33
PPCCGT,ALL,0.95,MAXAVAIL,1.81442104054674,1.57595566507631,2.22658098659134,219.58,172.15,242.275,34
QPS5,ALL,0.95,MAXAVAIL,145.024055947807,118.110622201637,165.541471037479,15905.205,15300.05,16510.36,34
TORRB2,ALL,0.95,MAXAVAIL,127.537594670049,105.319392231917,140.277935097759,16595.02,15490.7,16595.02,30
TORRB3,ALL,0.95,MAXAVAIL,124.447823318106,84.1959538220423,140.277935097759,16042.86,15490.7,16595.02,34
TORRB4,ALL,0.95,MAXAVAIL,127.537594670049,87.2814419935034,144.12651888119,15490.7,15490.7,16595.02,34
BARKIPS1,ALL,1,MAXAVAIL,146.242670478206,120.638158714339,165.100203888806,16600,15493.8,16600,35
DRYCGT1,ALL,1,MAXAVAIL,109.592954993486,31.4958454247693,117.445075899193,15887.72,4605.08,15887.72,35
DRYCGT2,ALL,1,MAXAVAIL,109.592954993486,88.6819497367496,120.016810366689,16586.72,15486.05,16586.72,35
DRYCGT3,ALL,1,MAXAVAIL,109.076421031813,31.4327864345202,115.730558655826,15787.8,4595.86,15787.8,35
OSB-AG,ALL,1,MAXAVAIL,1.01048144847923,0.862751595911676,1.20738264079735,120.99,98.93,140.88,33
PPCCGT,ALL,1,MAXAVAIL,1.97154910826208,1.65131480450825,2.81171263836333,229.11,172.4025,297.96,34
QPS5,ALL,1,MAXAVAIL,145.024055947807,118.110622201637,165.541471037479,15905.205,15300.05,16510.36,34
TORRB2,ALL,1,MAXAVAIL,127.537594670049,105.319392231917,140.277935097759,16595.02,15490.7,16595.02,30
TORRB3,ALL,1,MAXAVAIL,124.447823318106,84.1959538220423,140.277935097759,16042.86,15490.7,16595.02,34
TORRB4,ALL,1,MAXAVAIL,127.537594670049,87.2814419935034,144.12651888119,15490.7,15490.7,16595.02,34
TORRB3,DIRECTED,0.05,MAXAVAIL,118.309041808419,0.1,137.675707164669,15490.7,-999.4,16595.02,31
TORRB4,DIRECTED,0.05,MAXAVAIL,121.358051966162,21.7701020022793,142.843657620046,15490.7,5999.15,16595.02,31
TORRB3,DIRECTED,0.1,MAXAVAIL,118.309041808419,0.1,137.675707164669,15490.7,-999.4,16595.02,31
TORRB4,DIRECTED,0.1,MAXAVAIL,121.358051966162,21.7701020022793,142.843657620046,15490.7,5999.15,16595.02,31
TORRB3,DIRECTED,0.15,MAXAVAIL,118.309041808419,0.1,137.675707164669,15490.7,-999.4,16595.02,31
TORRB4,DIRECTED,0.15,MAXAVAIL,121.358051966162,21.7701020022793,142.843657620046,15490.7,5999.15,16595.02,31
TORRB3,DIRECTED,0.2,MAXAVAIL,118.309041808419,0.1,137.675707164669,15490.7,-999.4,16595.02,31
TORRB4,DIRECTED,0.2,MAXAVAIL,121.358051966162,21.7701020022793,142.843657620046,15490.7,5999.15,16595.02,31
TORRB3,DIRECTED,0.25,MAXAVAIL,127.537594670049,82.7120863114212,140.277935097759,15490.7,15490.7,16595.02,31
TORRB4,DIRECTED,0.25,MAXAVAIL,121.358051966162,56.5844275295457,142.843657620046,15490.7,15098.49,16595.02,31
TORRB3,DIRECTED,0.3,MAXAVAIL,127.537594670049,82.7120863114212,140.277935097759,15490.7,15490.7,16595.02,31
TORRB4,DIRECTED,0.3,MAXAVAIL,121.358051966162,56.5844275295457,142.843657620046,15490.7,15098.49,16595.02,31
TORRB3,DIRECTED,0.35,MAXAVAIL,127.537594670049,82.7120863114212,140.277935097759,15490.7,15490.7,16595.02,31
TORRB4,DIRECTED,0.35,MAXAVAIL,127.537594670049,82.7120863114212,145.409380142334,15490.7,15490.7,16595.02,31
TORRB3,DIRECTED,0.4,MAXAVAIL,127.537594670049,82.7120863114212,140.277935097759,15490.7,15490.7,16595.02,31
TORRB4,DIRECTED,0.4,MAXAVAIL,127.537594670049,82.7120863114212,145.409380142334,15490.7,15490.7,16595.02,31
TORRB3,DIRECTED,0.45,MAXAVAIL,127.537594670049,82.7120863114212,140.277935097759,15490.7,15490.7,16595.02,31
