unit,outcome,base_estimate,base_p,dropped_month,estimate,std.error,p.value,sign_flip,crosses_05,crosses_10
torrens,a_fixed300,-0.0373461740854873,0.106190866894909,202404,-0.0370926278024147,0.0226128720003237,0.110156788008345,FALSE,FALSE,FALSE
torrens,a_fixed300,-0.0373461740854873,0.106190866894909,202405,-0.0366651750762213,0.0226355431584029,0.114513863643531,FALSE,FALSE,FALSE
torrens,a_fixed300,-0.0373461740854873,0.106190866894909,202406,-0.0373785593345188,0.0227324321373912,0.109334068796766,FALSE,FALSE,FALSE
torrens,a_fixed300,-0.0373461740854873,0.106190866894909,202407,-0.0377567584571332,0.0227069978660151,0.105549464907439,FALSE,FALSE,FALSE
torrens,a_fixed300,-0.0373461740854873,0.106190866894909,202408,-0.038780408687629,0.0228443617149966,0.0987214080426171,FALSE,FALSE,TRUE
torrens,a_fixed300,-0.0373461740854873,0.106190866894909,202409,-0.0383725354821942,0.0240455890795724,0.119782467519975,FALSE,FALSE,FALSE
torrens,a_fixed300,-0.0373461740854873,0.106190866894909,202410,-0.0406455725948745,0.0258459599159029,0.12507027717324,FALSE,FALSE,FALSE
torrens,a_fixed300,-0.0373461740854873,0.106190866894909,202411,-0.0289012173787061,0.0233162933607823,0.223637592066632,FALSE,FALSE,FALSE
torrens,a_fixed300,-0.0373461740854873,0.106190866894909,202412,-0.037779225263252,0.0223584023594147,0.100234237023594,FALSE,FALSE,FALSE
torrens,b_2xSRMC,-0.0760465375650937,0.0393530910991554,202201,-0.0770463368726507,0.035636891929742,0.0377477625036562,FALSE,FALSE,FALSE
torrens,b_2xSRMC,-0.0760465375650937,0.0393530910991554,202202,-0.0771730632937637,0.036360968775468,0.0411670862576212,FALSE,FALSE,FALSE
torrens,b_2xSRMC,-0.0760465375650937,0.0393530910991554,202203,-0.0936112377147788,0.0321354311484515,0.006284252359275,FALSE,FALSE,FALSE
torrens,b_2xSRMC,-0.0760465375650937,0.0393530910991554,202204,-0.076092790566726,0.0356439305242581,0.0400681183495652,FALSE,FALSE,FALSE
torrens,b_2xSRMC,-0.0760465375650937,0.0393530910991554,202205,-0.0767425639015223,0.0362188160435706,0.0414874136773611,FALSE,FALSE,FALSE
torrens,b_2xSRMC,-0.0760465375650937,0.0393530910991554,202206,-0.0421682906461091,0.0275038593977801,0.134485634541453,FALSE,TRUE,TRUE
torrens,b_2xSRMC,-0.0760465375650937,0.0393530910991554,202207,-0.0788960110117496,0.0360023001666238,0.0353703036813377,FALSE,FALSE,FALSE
torrens,b_2xSRMC,-0.0760465375650937,0.0393530910991554,202208,-0.0792437674068549,0.0362758622372158,0.0359184820693704,FALSE,FALSE,FALSE
torrens,b_2xSRMC,-0.0760465375650937,0.0393530910991554,202209,-0.0659364414806568,0.0431432745986704,0.135685717786396,FALSE,TRUE,TRUE
torrens,b_2xSRMC,-0.0760465375650937,0.0393530910991554,202210,-0.0756971247683918,0.0361011003646501,0.0435233333082471,FALSE,FALSE,FALSE
torrens,b_2xSRMC,-0.0760465375650937,0.0393530910991554,202211,-0.0763139861420423,0.0368797498349558,0.0461900303537007,FALSE,FALSE,FALSE
torrens,b_2xSRMC,-0.0760465375650937,0.0393530910991554,202212,-0.0755987481542929,0.036606000864689,0.0465954538687235,FALSE,FALSE,FALSE
